"record","datetime","Ta_2m","Huma_2m","Ta_10m","Huma_10m","Windspeed_2m","Windspeed_10m","rad_sw_in","rad_sw_out","RsNet","RlNet","rad_net","LUpCo","LDnCo","water_vol_soil","Ts","heatflux_soil","PCP"
341,"2017-06-30 16:10:00",20.01,55.54,19.86,53.8,0.978,1.238,368.1,80.7,287.4,-63.43,223.9,364.1,427.6,0.345,19.35,5.539304,NA
342,"2017-06-30 16:15:00",19.97,57.42,19.76,54.96,1.331,1.459,368.9,80.3,288.6,-63.15,225.4,362.6,425.8,0.345,19.34,5.555299,NA
343,"2017-06-30 16:20:00",19.87,56.6,19.7,54.24,0.79,1.174,247.1,51.97,195.1,-57.16,137.9,363.6,420.7,0.346,19.32,5.554728,NA
344,"2017-06-30 16:25:00",19.6,59.52,19.49,57.56,0.8,0.998,258.8,53.66,205.2,-67.67,137.5,351.2,418.9,0.345,19.32,5.555875,NA
345,"2017-06-30 16:30:00",19.37,57.15,19.37,55.57,1.209,1.48,215.1,41.77,173.4,-65.47,107.9,349.1,414.6,0.345,19.3,5.581022,NA
346,"2017-06-30 16:35:00",19.37,57.17,19.4,55.09,0.413,0.926,279.2,51.52,227.7,-66.09,161.6,349.2,415.2,0.345,19.29,5.57818,NA
347,"2017-06-30 16:40:00",19.45,56.68,19.52,54.42,0.682,0.747,184.1,39.63,144.5,-62.02,82.5,350.8,412.8,0.345,19.28,5.579902,NA
348,"2017-06-30 16:45:00",19.32,60.38,19.41,55.39,0.858,1.005,180.2,37.6,142.6,-58.64,84,353.9,412.5,0.345,19.27,5.588475,NA
349,"2017-06-30 16:50:00",19.2,59.05,19.31,56.18,0.698,0.759,167.5,35.7,131.8,-59.28,72.48,352.8,412.1,0.345,19.26,5.589044,NA
350,"2017-06-30 16:55:00",19.17,57.22,19.3,54.71,0.74,0.898,160.8,34.41,126.4,-56.3,70.14,354.4,410.7,0.345,19.23,5.578754,NA
351,"2017-06-30 17:00:00",19.07,58.75,19.29,54.93,0.585,0.539,155.2,33.78,121.4,-50.86,70.59,360.1,410.9,0.345,19.21,5.59189,NA
352,"2017-06-30 17:05:00",19.06,59.95,19.24,57,0.752,0.688,159,35.44,123.6,-43.16,80.4,368.7,411.9,0.345,19.2,5.589613,NA
353,"2017-06-30 17:10:00",18.9,67.8,19.1,60.21,0.455,0.351,152.1,33.94,118.1,-42.9,75.22,370.9,413.8,0.345,19.15,5.58848,NA
354,"2017-06-30 17:15:00",18.72,69.44,19.01,60.32,0.574,0.691,159.9,36.18,123.8,-45.04,78.73,369.6,414.7,0.345,19.14,5.582203,NA
355,"2017-06-30 17:20:00",18.97,60.17,19.1,57.26,0.531,0.653,166.5,37.15,129.3,-52.55,76.78,360.6,413.1,0.345,19.11,5.57992,NA
356,"2017-06-30 17:25:00",19.1,59.91,19.19,57.05,0.814,0.699,171,38.47,132.5,-56.84,75.67,355.4,412.3,0.345,19.09,5.562779,NA
357,"2017-06-30 17:30:00",19.11,62.85,19.24,58.3,0.451,0.52,155.2,35.28,119.9,-58.13,61.81,354.3,412.5,0.345,19.06,5.550206,NA
358,"2017-06-30 17:35:00",19.09,58.45,19.27,55.95,0.821,0.598,147.9,32.96,114.9,-56.32,58.61,354.6,410.9,0.345,19.04,5.52392,NA
359,"2017-06-30 17:40:00",19.08,63.1,19.25,57.8,0.299,0.419,136.7,30.35,106.3,-57.73,48.59,352.5,410.3,0.345,19.02,5.515914,NA
360,"2017-06-30 17:45:00",18.92,59.72,19.19,56.28,0.959,0.981,131.3,29.59,101.7,-58.63,43.09,349.8,408.4,0.345,19,5.523333,NA
361,"2017-06-30 17:50:00",18.82,58.41,19.11,55.4,0.693,1.07,117.6,26.5,91.1,-56.36,34.7,350,406.3,0.345,18.98,5.483917,NA
362,"2017-06-30 17:55:00",18.77,57.61,18.99,54.98,0.819,0.97,95.8,21.36,74.42,-57.43,16.99,345.8,403.3,0.345,18.97,5.474214,NA
363,"2017-06-30 18:00:00",18.48,60.19,18.85,55.99,0.551,0.81,78.56,16.72,61.84,-60.18,1.666,340.5,400.7,0.345,18.94,5.456514,NA
364,"2017-06-30 18:05:00",18.29,61.98,18.72,57.06,0.786,0.64,74.15,16.61,57.54,-59.23,-1.694,339.8,399,0.345,18.92,5.432528,NA
365,"2017-06-30 18:10:00",18.05,62.62,18.51,58.26,0.296,0.488,70.67,16.59,54.08,-50.71,3.368,348.2,398.9,0.345,18.9,5.40283,NA
366,"2017-06-30 18:15:00",18.07,61.96,18.5,57.92,0.581,0.598,58.18,14.16,44.01,-36.4,7.619,363.4,399.8,0.345,18.87,5.393128,NA
367,"2017-06-30 18:20:00",17.71,71.13,18.24,61.28,0.491,0.515,52.27,12,40.27,-35.18,5.097,364.3,399.5,0.345,18.85,5.37143,NA
368,"2017-06-30 18:25:00",17.34,72.66,18.01,63.1,0.243,0.458,48.39,11,37.39,-41.42,-4.026,357.4,398.8,0.345,18.83,5.341725,NA
369,"2017-06-30 18:30:00",17.2,74.59,17.85,65.44,0.481,0.475,37.42,8.6,28.82,-39.66,-10.84,357.6,397.2,0.345,18.78,5.304011,NA
370,"2017-06-30 18:35:00",16.89,77.75,17.56,67.44,0.32,0.365,30.18,6.619,23.56,-34.97,-11.42,361,396,0.345,18.75,5.274857,NA
371,"2017-06-30 18:40:00",16.63,78.17,17.33,67.93,0.64,0.432,26.17,5.564,20.6,-38.73,-18.12,355.8,394.5,0.345,18.71,5.313109,NA
372,"2017-06-30 18:45:00",16.35,80.7,17.2,69.13,0.728,0.661,21.16,4.325,16.84,-45.96,-29.12,345.5,391.4,0.345,18.66,5.207985,NA
373,"2017-06-30 18:50:00",16.21,78.57,17.08,68.82,0.677,0.526,18.74,4.325,14.41,-44.08,-29.66,345.3,389.4,0.345,18.63,5.187982,NA
374,"2017-06-30 18:55:00",16.34,76.32,17.17,65.73,0.687,0.558,18.61,4.931,13.68,-43.29,-29.61,344.8,388.1,0.345,18.6,5.153131,NA
375,"2017-06-30 19:00:00",16.06,76.94,17.09,66.79,0.682,0.84,16.16,4.008,12.15,-47.73,-35.57,338.4,386.2,0.345,18.56,5.114856,NA
376,"2017-06-30 19:05:00",15.8,78.69,16.85,67.82,0.669,0.906,12.31,3.112,9.19,-49.07,-39.87,335,384.1,0.345,18.52,5.076011,NA
377,"2017-06-30 19:10:00",15.81,75.16,16.75,68.27,0.949,1.179,9.82,3.323,6.498,-49.2,-42.7,334.7,383.9,0.345,18.48,5.017746,NA
378,"2017-06-30 19:15:00",15.73,76.36,16.57,68.69,0.729,0.866,6.154,2.242,3.912,-47.79,-43.87,333.6,381.4,0.345,18.45,4.955483,NA
379,"2017-06-30 19:20:00",15.48,77.22,16.47,68.77,0.694,0.974,3.698,1.635,2.063,-47.29,-45.23,332.2,379.5,0.345,18.39,4.933206,NA
380,"2017-06-30 19:25:00",15.36,78.06,16.26,69.71,0.699,0.637,2.735,1.53,1.205,-47.23,-46.03,330.3,377.5,0.345,18.36,4.893792,NA
381,"2017-06-30 19:30:00",15.13,80.3,16.02,70.57,0.653,0.742,1.709,1.213,0.496,-44.83,-44.33,331.3,376.2,0.345,18.3,4.860091,NA
382,"2017-06-30 19:35:00",14.9,80.3,15.9,70.84,0.722,0.88,1.119,1.266,-0.147,-43.55,-43.7,332.6,376.1,0.345,18.25,4.782976,NA
383,"2017-06-30 19:40:00",14.65,83.8,15.73,72.12,0.608,0.805,0,0.686,-0.686,-45.25,-45.94,329.4,374.6,0.345,18.2,4.721863,NA
384,"2017-06-30 19:45:00",14.43,83.1,15.52,73.42,0.736,0.99,-0.497,0.765,-1.262,-46.4,-47.67,326.7,373.1,0.345,18.14,4.66418,NA
385,"2017-06-30 19:50:00",14.5,82.4,15.69,71.64,0.763,1.161,-0.497,1.556,-2.054,-47.22,-49.28,325.1,372.4,0.345,18.09,4.621919,NA
386,"2017-06-30 19:55:00",14.42,81.9,15.68,71.2,1.109,1.383,-0.653,1.873,-2.526,-49.09,-51.61,323.8,372.9,0.345,18.03,4.549949,NA
387,"2017-06-30 20:00:00",14.48,82.7,15.68,71.91,0.812,1.278,-1.43,1.873,-3.303,-49.06,-52.36,323.1,372.2,0.344,17.98,4.480259,NA
388,"2017-06-30 20:05:00",14.21,84.8,15.44,73.8,0.638,1.05,-2.021,1.081,-3.102,-48.87,-51.97,321.6,370.5,0.345,17.92,4.384866,NA
389,"2017-06-30 20:10:00",14.06,85.7,15.25,74.26,0.642,0.895,-1.896,1.055,-2.951,-49.07,-52.02,320.9,370,0.345,17.85,4.313468,NA
390,"2017-06-30 20:15:00",13.87,86.6,15.03,76.24,0.664,0.766,-1.958,1.029,-2.987,-48.58,-51.57,320.2,368.8,0.345,17.81,4.2295,NA
391,"2017-06-30 20:20:00",13.78,87,14.77,77.46,0.839,0.748,-1.679,1.134,-2.813,-48.16,-50.97,320.5,368.6,0.345,17.74,4.153526,NA
392,"2017-06-30 20:25:00",13.63,87.9,14.63,79.04,0.698,0.696,-1.803,1.161,-2.964,-47.14,-50.1,320.6,367.8,0.345,17.69,4.066695,NA
393,"2017-06-30 20:30:00",13.52,88.8,14.43,79.35,0.737,0.764,-1.617,0.95,-2.566,-45.99,-48.55,321.6,367.6,0.345,17.63,3.985003,NA
394,"2017-06-30 20:35:00",13.42,88.2,14.46,78.49,0.776,0.915,-1.554,1.213,-2.768,-46.19,-48.96,321.5,367.7,0.345,17.56,3.916447,NA
395,"2017-06-30 20:40:00",13.48,87.3,14.44,78.4,0.595,1.004,-1.399,1.372,-2.771,-45.51,-48.29,321.4,366.9,0.345,17.51,3.838752,NA
396,"2017-06-30 20:45:00",13.51,86.3,14.4,79.44,0.73,1.096,-0.87,1.345,-2.216,-44.12,-46.33,322,366.2,0.345,17.45,3.745063,NA
397,"2017-06-30 20:50:00",13.54,86.6,14.3,80.1,0.649,1.173,-0.933,1.688,-2.621,-42.62,-45.24,323,365.6,0.345,17.39,3.65252,NA
398,"2017-06-30 20:55:00",13.51,86.1,14.39,78.97,0.781,1.147,-0.653,1.741,-2.394,-43.05,-45.44,323.5,366.5,0.345,17.34,3.566839,NA
399,"2017-06-30 21:00:00",13.48,87.9,14.34,79.86,0.582,0.984,-0.902,1.504,-2.405,-43.33,-45.74,323.2,366.5,0.345,17.29,3.473732,NA
400,"2017-06-30 21:05:00",13.3,88.7,14.29,79.77,0.524,0.836,-1.243,1.108,-2.351,-42.5,-44.85,323.2,365.7,0.345,17.23,3.388619,NA
401,"2017-06-30 21:10:00",13.18,88.8,14.29,79.8,0.492,0.814,-1.026,1.213,-2.239,-42,-44.24,323.8,365.8,0.345,17.18,3.298934,NA
402,"2017-06-30 21:15:00",13.27,88,14.38,79.39,0.623,0.826,-0.622,1.662,-2.284,-41.18,-43.46,324.6,365.8,0.345,17.12,3.222386,NA
403,"2017-06-30 21:20:00",13.13,89.2,14.3,80.5,0.489,0.59,-1.088,1.424,-2.513,-40.17,-42.68,324.8,365,0.345,17.06,3.122986,NA
404,"2017-06-30 21:25:00",12.96,91,13.89,83.8,0.703,0.615,-1.026,0.818,-1.844,-39.98,-41.83,325.2,365.2,0.345,17.01,3.029298,NA
405,"2017-06-30 21:30:00",12.91,91.7,13.73,84.3,0.778,0.612,-0.746,1.002,-1.749,-40.65,-42.4,325.4,366,0.345,16.96,2.942465,NA
406,"2017-06-30 21:35:00",12.83,91.9,13.63,85.2,0.597,0.655,-1.026,1.002,-2.028,-40.08,-42.1,325.4,365.5,0.345,16.92,2.869343,NA
407,"2017-06-30 21:40:00",12.68,93,13.53,86.2,0.673,0.654,-1.15,0.501,-1.652,-39.64,-41.29,325.9,365.5,0.345,16.87,2.759662,NA
408,"2017-06-30 21:45:00",12.56,93.6,13.53,85.8,0.814,0.868,-1.244,0.633,-1.877,-40.07,-41.94,326.5,366.6,0.345,16.82,2.664834,NA
409,"2017-06-30 21:50:00",12.48,94.3,13.58,85.2,0.777,0.829,-1.275,0.712,-1.987,-39.8,-41.79,326.7,366.5,0.345,16.78,2.593998,NA
410,"2017-06-30 21:55:00",12.5,93.7,13.63,84.6,0.579,0.798,-1.15,1.029,-2.179,-39.23,-41.4,326.7,366,0.345,16.72,2.522593,NA
411,"2017-06-30 22:00:00",12.47,93.7,13.66,84.3,0.694,0.764,-0.995,1.055,-2.05,-38.69,-40.74,327.2,365.9,0.345,16.7,2.438051,NA
412,"2017-06-30 22:05:00",12.43,94.1,13.63,84.7,0.679,0.815,-0.995,0.923,-1.918,-38.31,-40.23,328.1,366.4,0.345,16.64,2.359796,NA
413,"2017-06-30 22:10:00",12.4,94.7,13.59,85,0.597,0.629,-1.057,0.791,-1.849,-37.63,-39.48,328.6,366.2,0.345,16.61,2.278114,NA
414,"2017-06-30 22:15:00",12.43,94.1,13.57,85.5,0.545,0.702,-0.871,1.055,-1.926,-36.58,-38.5,329.5,366.1,0.345,16.56,2.185579,NA
415,"2017-06-30 22:20:00",12.48,94.2,13.56,85.5,0.653,0.837,-0.622,1.293,-1.915,-35.38,-37.29,330.7,366.1,0.345,16.53,2.107896,NA
416,"2017-06-30 22:25:00",12.5,94.1,13.53,86.2,0.599,0.699,-0.497,1.346,-1.843,-35.24,-37.09,331.2,366.4,0.345,16.49,2.02793,NA
417,"2017-06-30 22:30:00",12.39,95,13.38,87.2,0.451,0.554,-0.995,1.082,-2.077,-35.12,-37.19,331.2,366.3,0.345,16.45,1.945685,NA
418,"2017-06-30 22:35:00",12.39,95.2,13.33,87.8,0.427,0.554,-0.684,1.003,-1.687,-34.56,-36.24,331.7,366.2,0.345,16.41,1.858872,NA
419,"2017-06-30 22:40:00",12.42,94.5,13.25,88.2,0.447,0.429,-0.902,1.214,-2.115,-34.19,-36.3,331.4,365.6,0.345,16.38,1.801759,NA
420,"2017-06-30 22:45:00",12.37,94.3,13.14,88.4,0.423,0.441,-0.933,1.24,-2.173,-33.84,-36.01,330.8,364.7,0.345,16.35,1.716649,NA
421,"2017-06-30 22:50:00",12.29,95.7,13.15,88,0.561,0.652,-0.715,0.686,-1.401,-34.7,-36.1,330.1,364.8,0.345,16.31,1.629819,NA
422,"2017-06-30 22:55:00",12.31,95.3,13.18,87.4,0.55,0.496,-0.808,0.976,-1.785,-36.73,-38.52,328.4,365.1,0.345,16.28,1.566407,NA
423,"2017-06-30 23:00:00",12.27,95,13.16,87.4,0.519,0.831,-1.15,1.108,-2.258,-38.02,-40.28,326.7,364.7,0.345,16.25,1.507562,NA
424,"2017-06-30 23:05:00",12.24,94.5,13.17,87.3,0.452,0.66,-1.337,1.372,-2.709,-38.87,-41.58,325,363.9,0.345,16.24,1.40873,NA
425,"2017-06-30 23:10:00",12.17,95,13.1,86.9,0.439,0.576,-1.275,1.319,-2.594,-39,-41.59,324.4,363.4,0.345,16.19,1.332179,NA
426,"2017-06-30 23:15:00",12.17,94.9,13.01,87.9,0.493,0.527,-1.057,1.134,-2.192,-39.03,-41.22,324,363,0.345,16.14,1.252772,NA
427,"2017-06-30 23:20:00",12.11,95.2,13.02,87.4,0.466,0.715,-1.119,1.161,-2.28,-38.47,-40.75,324.3,362.8,0.345,16.13,1.20307,NA
428,"2017-06-30 23:25:00",12.08,95.6,13.06,87.3,0.436,0.559,-0.995,1.293,-2.288,-37.59,-39.88,325.4,363,0.345,16.1,1.122522,NA
429,"2017-06-30 23:30:00",12.1,95.2,13.03,87.8,0.562,0.521,-0.684,1.372,-2.056,-33.95,-36.01,329.4,363.4,0.345,16.05,1.049971,NA
430,"2017-06-30 23:35:00",12.1,95.9,13.02,88,0.51,0.599,-0.56,1.504,-2.063,-34.83,-36.89,329.3,364.1,0.345,16.04,0.9797056,NA
431,"2017-06-30 23:40:00",12.14,95.2,13.16,87,0.472,0.701,-0.653,1.609,-2.262,-38.4,-40.66,326,364.4,0.345,16.01,0.9014441,NA
432,"2017-06-30 23:45:00",12.12,95.6,13.2,87.4,0.536,0.721,-0.933,1.425,-2.357,-37.62,-39.98,326.1,363.8,0.345,15.98,0.8129001,NA
433,"2017-06-30 23:50:00",12.11,95.6,13.17,86.9,0.489,0.676,-0.591,1.398,-1.989,-28.8,-30.79,336.3,365.1,0.345,15.94,0.7694845,NA
434,"2017-06-30 23:55:00",12.17,96.1,13.2,87.2,0.523,0.453,0.218,1.504,-1.286,-22.3,-23.59,344.7,367,0.345,15.92,0.6757979,NA
